Lake,Slide #,Marcus,Drake,Marty
5 Island,132,12,9,14
5 Island,146,12,7,15
5 Island,149,15,14,14
5 Island,164,4,5,12
5 Island,167,11,11,11
5 Island,168,5,2,4
5 Island,169,11,9,8
5 Island,172,5,3,4
5 Island,176,18,12,16
5 Island,182,3,2,3
Center,3,4,6,4
Center,19,7,3,6
Center,36,10,10,10
Center,44,3,4,3
Center,51,4,3,3
Center,52,7,11,10
Center,58,16,14,19
Center,59,12,8,12
Center,113,3,3,5
Center,131,6,4,5
Silver,13,5,3,8
Silver,14,6,4,6
Silver,15,13,11,12
Silver,25,13,13,15
Silver,101,4,2,5
Silver,121,4,2,6
Silver,137,4,4,5
Silver,140,10,8,14
Silver,141,5,3,4
Silver,142,5,5,5
