"Date","CPUE","AirTemp","Wind"
2018-05-01,141.940471588713,18.3,10
2018-05-04,91.8978912319644,21.7,13
2018-05-07,744.487109160724,26.7,16
2018-05-08,755.640171346978,25.6,5
2018-05-09,355.759162303665,21.7,18
2018-05-10,117.968417239554,18.9,14
2018-05-11,197.7277838309,15,16
2018-05-16,711.813013265951,26.7,10
2018-05-17,392.588092345079,28.3,13
2018-05-18,132.654545454545,25.6,18
2018-05-21,103.27868852459,17.2,6
2018-05-22,157.098955132145,23.3,13
2018-05-24,360,29.4,18
2018-05-25,248.739495798319,31.1,5
2018-05-29,198.062766369624,28.9,9
2018-05-30,118.785745710515,25.6,9
2018-05-31,185.142857142857,31.1,15
2018-06-01,144.867469879518,33.3,14
2018-06-04,37.9446640316206,28.3,18
2018-06-05,92.8140427866154,31.1,13
2018-06-06,239.05325443787,29.4,8
2018-06-13,64.899257688229,25,9
2018-08-07,43.6093943139678,25.6,7
2018-10-23,69,10.6,7
2018-10-24,39,12.8,16
2018-11-04,33.5439039797852,5,12
