Year,LakeName,TP_mg,SRP_mg,TSS_mg/L,VSS_mg/L,ISS_mg/L,Chla_ug/L,Phyco_ug/L
2018,South Twin,0.2168,0.0015,72,45,27,45.0420712,
2018,South Twin,0.2169,0.00165,72,45,27,,
2018,South Twin,0.2383,0.0051,90,22,68,36.016814,
2018,South Twin,0.2588,0.0468,82,10,72,,
2018,South Twin,0.1768,0.001168875,61,44,17,36.9921892,
2018,South Twin,0.20505,0.00190435,63,48,15,,
2018,South Twin,0.21525,0.002946,79,41,38,52.8589544,52.0702976
2018,South Twin,0.1876,0.0027875,76,38,38,,
2018,South Twin,0.17865,0.0022036,56,42,14,31.38383,62.12748
2018,South Twin,0.1805,0.00172145,58,38,20,,
2018,South Twin,0.14035,0.0022083,62,46,16,40.5650624,85.9180544
2018,South Twin,0.12715,0.0033379,52,39,13,,
2018,South Twin,0.15465,0.00882305,60,40,20,43.5854096,120.3247936
2018,South Twin,0.15025,0.0022363,68,36,32,,
2017,South Twin,0.0564,0.0052,88.0,39.0,49.0,88,1.65
2017,South Twin,0.1146,0.0024,49.0,30.0,19.0,11,1.65
2017,South Twin,0.1705,0.0097,82.0,68.0,14.0,32,1.65
2017,South Twin,0.1873,0.0024, 84.0 ,24.0,60.0,4,1.65
2017,South Twin,0.1787,0.0024,64.0,64.0,0.3,25,1.65
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
